Day,Time,Condition,Envir,Reading,PID
T3,17:30:00,View,co2,484,WR4
T3,17:45:00,View,co2,478.9,WR4
T3,18:00:00,View,co2,478,WR4
T3,18:15:00,View,co2,491.3,WR4
T3,18:30:00,View,co2,497.2,WR4
T3,18:45:00,View,co2,486.5,WR4
T3,19:00:00,View,co2,479.7,WR4
T3,19:15:00,View,co2,482.4,WR4
T3,19:30:00,View,co2,467.1,WR4
T3,19:45:00,View,co2,444.3,WR4
T3,20:00:00,View,co2,426.2,WR4
T3,20:15:00,View,co2,432.3,WR4
T3,20:30:00,View,co2,439.5,WR4
T3,20:45:00,View,co2,439.7,WR4
T3,21:00:00,View,co2,436,WR4
T3,21:15:00,View,co2,427.9,WR4
T3,21:30:00,View,co2,428.2,WR4
T3,21:45:00,View,co2,426,WR4
T3,22:00:00,View,co2,430.4,WR4
T3,22:15:00,View,co2,428.7,WR4
T3,22:30:00,View,co2,437.7,WR4
T3,22:45:00,View,co2,435.8,WR4
T3,23:00:00,View,co2,431.3,WR4
T3,23:15:00,View,co2,430.2,WR4
T3,23:30:00,View,co2,437.4,WR4
T3,23:45:00,View,co2,439.5,WR4
T0,8:30:00,View,co2,503.9,WR5
T0,8:45:00,View,co2,438.6,WR5
T0,9:00:00,View,co2,425.6,WR5
T0,9:15:00,View,co2,421.2,WR5
T0,9:30:00,View,co2,426.1,WR5
T0,9:45:00,View,co2,432.3,WR5
T0,10:00:00,View,co2,444.7,WR5
T0,10:15:00,View,co2,445.8,WR5
T0,10:30:00,View,co2,471.1,WR5
T0,10:45:00,View,co2,455.5,WR5
T0,11:00:00,View,co2,487.9,WR5
T0,11:15:00,View,co2,529.5,WR5
T0,11:30:00,View,co2,526.7,WR5
T0,11:45:00,View,co2,501.6,WR5
T0,12:00:00,View,co2,498.8,WR5
T0,12:15:00,View,co2,489.6,WR5
T0,12:30:00,View,co2,473.5,WR5
T0,12:45:00,View,co2,461.4,WR5
T0,13:00:00,View,co2,459.8,WR5
T0,13:15:00,View,co2,461.5,WR5
T0,13:30:00,View,co2,460.3,WR5
T0,13:45:00,View,co2,459.8,WR5
T0,14:00:00,View,co2,451.9,WR5
T0,14:15:00,View,co2,453.8,WR5
T0,14:30:00,View,co2,455.7,WR5
T0,14:45:00,View,co2,456.3,WR5
T0,15:00:00,View,co2,458.1,WR5
T0,15:15:00,View,co2,455,WR5
T0,15:30:00,View,co2,455.2,WR5
T0,15:45:00,View,co2,451.2,WR5
T0,16:00:00,View,co2,453.1,WR5
T0,16:15:00,View,co2,455.9,WR5
T0,16:30:00,View,co2,450.9,WR5
T0,16:45:00,View,co2,453.1,WR5
T0,17:00:00,View,co2,453.7,WR5
T0,17:15:00,View,co2,446.9,WR5
T0,17:30:00,View,co2,447.8,WR5
T0,17:45:00,View,co2,448.3,WR5
T0,18:00:00,View,co2,444.9,WR5
T0,18:15:00,View,co2,447.2,WR5
T0,18:30:00,View,co2,444.5,WR5
T0,18:45:00,View,co2,441.7,WR5
T0,19:00:00,View,co2,448.9,WR5
T0,19:15:00,View,co2,450.4,WR5
T0,19:30:00,View,co2,446.6,WR5
T0,19:45:00,View,co2,445.2,WR5
T0,20:00:00,View,co2,446.2,WR5
T0,20:15:00,View,co2,440.7,WR5
T0,20:30:00,View,co2,439.3,WR5
T0,20:45:00,View,co2,441.4,WR5
T0,21:00:00,View,co2,442,WR5
T0,21:15:00,View,co2,434.8,WR5
T0,21:30:00,View,co2,437.4,WR5
T0,21:45:00,View,co2,447.3,WR5
T0,22:00:00,View,co2,455.7,WR5
T0,22:15:00,View,co2,455.4,WR5
T0,22:30:00,View,co2,454.2,WR5
T0,22:45:00,View,co2,452.6,WR5
T0,23:00:00,View,co2,452.5,WR5
T0,23:15:00,View,co2,439.6,WR5
T0,23:30:00,View,co2,427.6,WR5
T0,23:45:00,View,co2,420.6,WR5
T1,0:00:00,View,co2,418.9,WR5
T1,0:15:00,View,co2,418.8,WR5
T1,0:30:00,View,co2,417.4,WR5
T1,0:45:00,View,co2,435.6,WR5
T1,1:00:00,View,co2,428.4,WR5
T1,1:15:00,View,co2,428.7,WR5
T1,1:30:00,View,co2,418,WR5
