Day,Time,Condition,Envir,Reading,PID
T1,2:00:00,Blinds,temp,71.2,RR2
T1,2:15:00,Blinds,temp,71.2,RR2
T1,2:30:00,Blinds,temp,71.1,RR2
T1,2:45:00,Blinds,temp,71.3,RR2
T1,3:00:00,Blinds,temp,71,RR2
T1,3:15:00,Blinds,temp,71.1,RR2
T1,3:30:00,Blinds,temp,71,RR2
T1,3:45:00,Blinds,temp,71.2,RR2
T1,4:00:00,Blinds,temp,71.1,RR2
T1,4:15:00,Blinds,temp,71.2,RR2
T1,4:30:00,Blinds,temp,70.9,RR2
T1,4:45:00,Blinds,temp,71.2,RR2
T1,5:00:00,Blinds,temp,70.9,RR2
T1,5:15:00,Blinds,temp,71.2,RR2
T1,5:30:00,Blinds,temp,71,RR2
T1,5:45:00,Blinds,temp,71.7,RR2
T1,6:00:00,Blinds,temp,71.7,RR2
T1,6:15:00,Blinds,temp,72.2,RR2
T1,6:30:00,Blinds,temp,72,RR2
T1,6:45:00,Blinds,temp,72.4,RR2
T1,7:00:00,Blinds,temp,71.7,RR2
T1,7:15:00,Blinds,temp,71.8,RR2
T1,7:30:00,Blinds,temp,71.6,RR2
T1,7:45:00,Blinds,temp,71.4,RR2
T1,8:00:00,Blinds,temp,71.7,RR2
T1,8:15:00,Blinds,temp,72.1,RR2
T1,8:30:00,Blinds,temp,72.3,RR2
T1,8:45:00,Blinds,temp,72,RR2
T1,9:00:00,Blinds,temp,72.6,RR2
T1,9:15:00,Blinds,temp,71.8,RR2
T1,9:30:00,Blinds,temp,72.4,RR2
T1,9:45:00,Blinds,temp,71.7,RR2
T1,10:00:00,Blinds,temp,71.5,RR2
T1,10:15:00,Blinds,temp,71.7,RR2
T1,10:30:00,Blinds,temp,71.1,RR2
T1,10:45:00,Blinds,temp,70.6,RR2
T1,11:00:00,Blinds,temp,72.8,RR2
T1,11:15:00,Blinds,temp,71.2,RR2
T1,11:30:00,Blinds,temp,71.6,RR2
T1,11:45:00,Blinds,temp,72.1,RR2
T1,12:00:00,Blinds,temp,71.6,RR2
T1,12:15:00,Blinds,temp,71.6,RR2
T1,12:30:00,Blinds,temp,71.4,RR2
T1,12:45:00,Blinds,temp,72.2,RR2
T1,13:00:00,Blinds,temp,72.6,RR2
T1,13:15:00,Blinds,temp,72.8,RR2
T1,13:30:00,Blinds,temp,72.9,RR2
T1,13:45:00,Blinds,temp,73.4,RR2
T1,14:00:00,Blinds,temp,73.2,RR2
T1,14:15:00,Blinds,temp,73.2,RR2
T1,14:30:00,Blinds,temp,73.7,RR2
T1,14:45:00,Blinds,temp,74.6,RR2
T1,15:00:00,Blinds,temp,75.2,RR2
T1,15:15:00,Blinds,temp,75.5,RR2
T1,15:30:00,Blinds,temp,75.2,RR2
T1,15:45:00,Blinds,temp,74.5,RR2
T1,16:00:00,Blinds,temp,74.4,RR2
T1,16:15:00,Blinds,temp,74.2,RR2
T1,16:30:00,Blinds,temp,74,RR2
T1,16:45:00,Blinds,temp,73.8,RR2
T1,17:00:00,Blinds,temp,74,RR2
T1,17:15:00,Blinds,temp,73.6,RR2
T1,17:30:00,Blinds,temp,73.6,RR2
T1,17:45:00,Blinds,temp,73.3,RR2
T1,18:00:00,Blinds,temp,72.7,RR2
T1,18:15:00,Blinds,temp,72.4,RR2
T1,18:30:00,Blinds,temp,71.9,RR2
T1,18:45:00,Blinds,temp,71.8,RR2
T1,19:00:00,Blinds,temp,71.7,RR2
T1,19:15:00,Blinds,temp,71.2,RR2
T1,19:30:00,Blinds,temp,71.5,RR2
T1,19:45:00,Blinds,temp,72,RR2
T1,20:00:00,Blinds,temp,71.9,RR2
T1,20:15:00,Blinds,temp,71.9,RR2
T1,20:30:00,Blinds,temp,71.4,RR2
T1,20:45:00,Blinds,temp,71.4,RR2
T1,21:00:00,Blinds,temp,70.9,RR2
T1,21:15:00,Blinds,temp,70.9,RR2
T1,21:30:00,Blinds,temp,70.7,RR2
T1,21:45:00,Blinds,temp,70.8,RR2
T1,22:00:00,Blinds,temp,70.7,RR2
T1,22:15:00,Blinds,temp,70.5,RR2
T1,22:30:00,Blinds,temp,70.3,RR2
T1,22:45:00,Blinds,temp,69.9,RR2
T1,23:00:00,Blinds,temp,69.9,RR2
T1,23:15:00,Blinds,temp,69.5,RR2
T1,23:30:00,Blinds,temp,69.4,RR2
T1,23:45:00,Blinds,temp,69.3,RR2
T2,0:00:00,Blinds,temp,69,RR2
T2,0:15:00,Blinds,temp,69.1,RR2
T2,0:30:00,Blinds,temp,68.9,RR2
T2,0:45:00,Blinds,temp,68.9,RR2
T2,1:00:00,Blinds,temp,69.1,RR2
T2,1:15:00,Blinds,temp,68.6,RR2
T2,1:30:00,Blinds,temp,69.2,RR2
T2,1:45:00,Blinds,temp,68.8,RR2
T2,2:00:00,Blinds,temp,69,RR2
T2,2:15:00,Blinds,temp,68.7,RR2
T2,2:30:00,Blinds,temp,69.1,RR2
T2,2:45:00,Blinds,temp,68.5,RR2
T2,3:00:00,Blinds,temp,68.8,RR2
T2,3:15:00,Blinds,temp,68.9,RR2
T2,3:30:00,Blinds,temp,68.6,RR2
T2,3:45:00,Blinds,temp,68.9,RR2
T2,4:00:00,Blinds,temp,68.6,RR2
T2,4:15:00,Blinds,temp,68.9,RR2
T2,4:30:00,Blinds,temp,68.6,RR2
T2,4:45:00,Blinds,temp,68.8,RR2
T2,5:00:00,Blinds,temp,68.5,RR2
T2,5:15:00,Blinds,temp,68.8,RR2
T2,5:30:00,Blinds,temp,68.7,RR2
T2,5:45:00,Blinds,temp,68.6,RR2
T2,6:00:00,Blinds,temp,68.8,RR2
T2,6:15:00,Blinds,temp,68.5,RR2
T2,6:30:00,Blinds,temp,68.8,RR2
T2,6:45:00,Blinds,temp,68.8,RR2
T2,7:00:00,Blinds,temp,68.9,RR2
T2,7:15:00,Blinds,temp,68.9,RR2
T2,7:30:00,Blinds,temp,68.8,RR2
T2,7:45:00,Blinds,temp,69.5,RR2
T2,8:00:00,Blinds,temp,70.1,RR2
T2,8:15:00,Blinds,temp,70.4,RR2
T2,8:30:00,Blinds,temp,70.9,RR2
T2,8:45:00,Blinds,temp,70.9,RR2
T2,9:00:00,Blinds,temp,71.3,RR2
T2,9:15:00,Blinds,temp,71.4,RR2
T2,9:30:00,Blinds,temp,71.9,RR2
T2,9:45:00,Blinds,temp,72.1,RR2
T2,10:00:00,Blinds,temp,72.3,RR2
T2,10:15:00,Blinds,temp,72.2,RR2
